tx,destination_address,exchange,token_name,token_erc20,number_of_coins_transferred,utc_date_of_transfer,utc_date_time_of_transfer
0x4cdf631cb84f6584eeadfefc207bc17a7079654e43656dd33b28b2f1f35ac4af,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,999981,Mon, 24 Apr 2023 19:42:11 GMT
0xed980e5e401b8632e043f8538d7c0a360ce2afc97c3acb829ffa8c8937b0db5d,0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1434,Mon, 24 Apr 2023 19:43:47 GMT
0x8b7f54743dc5394fde6f2ae0a2a214bed9f1c7b533f7c90e7bc7221e8e4409a5,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1000,Mon, 24 Apr 2023 19:43:47 GMT
0xf10fad93303ed3785248248c348ad5c3f9adbaab879b6cb471572c60f5f68c9c,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,21433,Mon, 24 Apr 2023 19:44:47 GMT
0xa9f498ab0b1ca95086619e9a3ad57aff6d8e2bacfeaf2591da94a750ddcc058b,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1000,Mon, 24 Apr 2023 19:44:47 GMT
0xbf7e29cb3ef85c3d0dcfdd62dd5e52143f4d3984ae9aad2fcaa28e21e058454d,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,734,Mon, 24 Apr 2023 19:45:11 GMT
0xef43ef46ce48fcd0520009c591c832670c181b9ed5e9205673564af44cb003f8,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:45:11 GMT
0xb9ae53d1c80765f0c48da101577d344e860122920807e742501b0c0532608e58,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1000,Mon, 24 Apr 2023 19:45:11 GMT
0x7e012c15a97aceea700d2e9f4c015a8dd10b2a8095082a96371b8e9fd22f910f,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:45:11 GMT
0xb4bc2ac64a9e44fb70cb9116308ebdf63ed11bd443263f718be1ebfcd852d7cb,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2850,Mon, 24 Apr 2023 19:45:11 GMT
0xe44d3216e26a9a544871aaaae5b22f20d11dd52c25db527f78bd06e9b6d55382,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,100000,Mon, 24 Apr 2023 19:45:23 GMT
0x5fb1162c0c74831a7f91fb6ef3ccdd8e748487d6ef066d22adb7c2ab0e6802a7,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,258,Mon, 24 Apr 2023 19:45:23 GMT
0x3d0fea50c1c9ee286094b4382186e508cd167dd9ae30bf6fe0d0aa1b1fef3445,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,144,Mon, 24 Apr 2023 19:45:23 GMT
0x637699cddc330006c182f97c2b4a068716021dce0ce2eaed95a4dd2ee0c66a7c,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,100,Mon, 24 Apr 2023 19:46:35 GMT
0x6414892208f55b0f91ecb30bc28ecc4ec2563505a7fab13a3f3276f05a650d6a,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2445,Mon, 24 Apr 2023 19:48:11 GMT
0x940e1924911c8fb781f781cc55f38724a78c7e8923894ba146912832aaa7f84d,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,50,Mon, 24 Apr 2023 19:48:11 GMT
0x8b7f1d24286eb1c1d5648e42d0249ef4e8997b8526a5ff37a6f79d1d5315071b,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2500,Mon, 24 Apr 2023 19:50:11 GMT
0x82d653a9ba35e0f5375ee9eeddea381c2b22d6dcf54fe3d61c1ea7776476cb31,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:50:11 GMT
0x97ce5c081cc4bec4f4c15fab1b729a6ad9ac00674fc472ea5f15bb1fbd7c0763,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,751,Mon, 24 Apr 2023 19:50:11 GMT
0x4670a7c131a2468ea69cc48b5b2a5f2f11c798c6882f519ac7118bba149ff3d7,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:50:11 GMT
0xd2a2399ef87518b5bc716e649dc39fdff42bdcb5878106e8bf37dbde42bae600,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,800,Mon, 24 Apr 2023 19:50:11 GMT
0x241a551587cd5dd34accb8dd518b0a3dcde8f32170893eec722ea0f09c84177d,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,737,Mon, 24 Apr 2023 19:50:11 GMT
0x3064bd056c5066328a8093ab160f5e699e8578d73dc688f2a1c0eae779f23b89,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,573,Mon, 24 Apr 2023 19:50:11 GMT
0x39f1898ecf4c2700db56515575f802f2b76750cc258712746c7bab95d159f914,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,738,Mon, 24 Apr 2023 19:50:47 GMT
0x3afd2f2b17d72826f2b2181caa1b6f3c77d33061a885ed35898b23c6b5217c1d,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,293592,Mon, 24 Apr 2023 19:53:11 GMT
0xfd2a9400f7a98dfd4ddbe85b18cdede563f377058c3dbd21c3f1ec3a178bd349,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,10807,Mon, 24 Apr 2023 19:54:11 GMT
0xd7d4f563ec8a9cdcc69b50c1e14da63cc620d49a27158dfb8b92750945663547,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,93,Mon, 24 Apr 2023 19:54:59 GMT
0x67713de04f7c5dcac8b6398f0925b619892bdc32faa6e277f594f5a705f45d09,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:55:11 GMT
0xe7ce2f347b964649084e07006b0388f37440fb7f4fc087993ea94de8d0dde3c8,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,530,Mon, 24 Apr 2023 19:55:11 GMT
0xb5668913792278e734dd00e7c4036bfd66c7dea5680ea03de0a68d54cc582303,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1496,Mon, 24 Apr 2023 19:55:11 GMT
0xc4ff595a02b8af5dd6e3ec54399f6c7253f3876b93b91fedd99124419c599314,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1800,Mon, 24 Apr 2023 19:55:11 GMT
0x36881f987120fd1890ccbee3a2f416be443ac3dfb2e38d79917d4fa876324905,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2303,Mon, 24 Apr 2023 19:55:11 GMT
0x6e29d222319022d34e1d308e5f535682f6507ec044609bc64e8b481d65c4171a,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1779,Mon, 24 Apr 2023 19:55:11 GMT
