name,symbol,address
Shiba Inu,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
Dai,DAI,0x6b175474e89094c44da98b954eedeac495271d0f
Wrapped Bitcoin,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
Chainlink,LINK,0x514910771af9ca656af840dff83e8264ecf986ca
UNUS SED LEO,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
OKB,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c
TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376
Tether,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7
ApeCoin,APE,0x4d224452801aced8b2f0aebe155379bb5d594381
Quant,QNT,0x4a220e6096b25eadb88358cb44068a3248254675
The Graph,GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7
USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
Arbitrum,ARB,0x912CE59144191C1204E64559FE8253a0e49E6548
Cronos,CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
The Sandbox,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
Aave,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9
Pax Dollar,USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1
Axie Infinity,AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
Rocket Pool,RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f
BitDAO,BIT,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5
Chiliz,CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af
KuCoin Token,KCS,0xf34960d9d60be18cc1d5afc1a6f012a723a28811
Curve DAO Token,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52
Immutable,IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
Optimism,OP,0x4200000000000000000000000000000000000042
USDD,USDD,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
PancakeSwap,CAKE,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
GMX,GMX,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a
Render Token,RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
Synthetix,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
BitTorrent(New),BTT,TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4
Injective,INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30
