tx,destination_address,exchange,token_name,token_erc20,number_of_coins_transferred,utc_date_time_of_transfer,utc_date_of_transfer
0x856e5d94f6bc3884fa33883e04d91fda66480492a5c19a8551d380328cc0164d,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,Nexo 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3000, 24 Apr 2023 23:15:23 GMT,2023-04-24
0x3349379acb08b9b5653acfe0f9310e0713b31dfe7ae6c6c2390333a8e0371f15,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,75, 24 Apr 2023 23:15:23 GMT,2023-04-24
0xa93216366e03689c837324da19596066679eac278fb4151c302e2ac6ccb9b194,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2500, 24 Apr 2023 23:15:23 GMT,2023-04-24
0x4cfb561be6d827f23f976a05bdef48ed821d9614c19d5efe410cec4de97a49c5,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,121, 24 Apr 2023 23:15:23 GMT,2023-04-24
0xc8a9934cbad548171d5e14e3fe533547f00bcce65be49b1dcd79e250541d5cb8,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1000, 24 Apr 2023 23:16:47 GMT,2023-04-24
0x533b475284ba856850ff9a9a83f5565a5a5b7d5f3c9c95b51991957bf7006cc9,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,100, 24 Apr 2023 23:17:23 GMT,2023-04-24
0x2e5b2c6359293bb0a44f68dbb7e9e7084820d48743e241d650d45418510e9593,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1891, 24 Apr 2023 23:17:59 GMT,2023-04-24
0xd0a08e1288b342749be3e713f29ad054ffb2f1c0d19ff513e023128b030051a7,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,10000, 24 Apr 2023 23:18:11 GMT,2023-04-24
0x2421f001b3b32f751effb79375523e0a17feae0b4bbcf82921c4fe08b6838857,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,693, 24 Apr 2023 23:20:23 GMT,2023-04-24
0xaa2ec3a528399e0dfca90bfcee717f90134379fba5bf55b14c33c6aa28ae2acb,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,519, 24 Apr 2023 23:20:23 GMT,2023-04-24
0xd4eba02a2f1403bf316f6bd85c1e004835edfbcd3c8d1713931e17742ea9e726,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,51, 24 Apr 2023 23:20:35 GMT,2023-04-24
0xa2c60091e73fd223e3817cb115fb2cf175ab10e77aa6731eb290452eed65201a,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,500, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x60cfb4e51a59aa5b7b38c8a2d1d32d6f8e02e4e8c38afb0e724991ef0ad616d9,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,100, 24 Apr 2023 23:20:35 GMT,2023-04-24
0xb31a779c9ef543fbe0f1e6b1f407655e5fc8c375457b1cea1af8b0fdd0b8daac,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,101090, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x4662abb693022b4432bb29d730165242780da5f3ff376861bad4a4c13bb7abf4,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,101, 24 Apr 2023 23:20:35 GMT,2023-04-24
0xc7534c775bde74d7a36e8cc42aeb17a90f3a5447180e0d59b1622d5c9e1a690d,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,118, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x462d0bd5344ab864bccd84ae03ece7b34bc0839846bc72e3dc69b13dd3c0510d,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,6974, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x5c84517e3a48f22980225612ab1a00abfbb0105390a92708807b2c73e26d8ca9,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,390, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x2e8e6212bc4cf10e3df51c4e2ac453885e42b115d63f4de20fc592a18ed1c1cd,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,77, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x96faa7e8535e955a3e82e300c8deacf4e1de834a324daf46cd120600754d12ab,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,245, 24 Apr 2023 23:20:35 GMT,2023-04-24
0xef5cd9f54c631cf0badb77a17a545360d06842e462ff670c74c1c3259b6c1f31,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,962, 24 Apr 2023 23:20:35 GMT,2023-04-24
0x00dcab8217cc0069a2d28d2b028eda84fa498b31105f26f532a225b3fba064e4,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,50000, 24 Apr 2023 23:20:47 GMT,2023-04-24
0x90f91605fdb6ee045334caa02ada528330b37dbde8a341c6b33db22c2ae29145,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1094, 24 Apr 2023 23:20:59 GMT,2023-04-24
0x7729ff6d645bef91714a636d8c617cfa2416d756da3ebf594d7288e15e22a2dd,0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,967, 24 Apr 2023 23:21:11 GMT,2023-04-24
0xcc4e788bf49140514407b600b12bf4003b5fce5601b878fd7f31c262f862982b,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3500, 24 Apr 2023 23:22:47 GMT,2023-04-24
0xf8cbe4c311cc6a91a73790982d0f3fa50271355560a0d27a79139d1874c0b1d5,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1993, 24 Apr 2023 23:22:47 GMT,2023-04-24
0x663481ad85de6f4a85643364b68bfd68a175fb843c6e7c7ef5dc66e04c999f26,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,285, 24 Apr 2023 23:23:11 GMT,2023-04-24
0x4f0db9291957058a1c4a7283ec238bb78e62bc5e77f9ece89a92b295d77fc189,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKX 7,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1293, 24 Apr 2023 23:24:23 GMT,2023-04-24
0x9b853016b5967d68960ad6b1d130e4301df21df62f62ea6b68611b61ec987441,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,4993, 24 Apr 2023 23:24:23 GMT,2023-04-24
0x0c4f4a32d08dc044695636d99f0866cae007e395cfcc3a041ad06db1b6e29b8e,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,981, 24 Apr 2023 23:24:23 GMT,2023-04-24
0xc865b857e11734bff4ee7869444d7fa7c25b9d12f96f462a862824e4d2f97471,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,400, 24 Apr 2023 23:24:23 GMT,2023-04-24
0xd2e3a0ecc2bb16b0bef8c2fde25d0fa567f26b83eba2540a266ef822c418a89f,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,314, 24 Apr 2023 23:24:35 GMT,2023-04-24
0x9bcc616c25414badac87fc647618eb0b52f46dd9df9d12f2d2e0739b4882e9ef,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin 11,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2819, 24 Apr 2023 23:24:35 GMT,2023-04-24
0x8d4abe702a55062718f4153ef493eb789db2fc6ace2e608658d0707a5c52fcb0,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,50000, 24 Apr 2023 23:25:11 GMT,2023-04-24
0x01c8c35e8c6f6b80d40bf61f03430369e4569df69e0906390c26953fa458dc09,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1993499, 24 Apr 2023 23:25:11 GMT,2023-04-24
0xdd3cd0f6fbcafa6e6b56e0d75617620fb3fea8a39e5198ef4d4f2099f2c9774f,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5000, 24 Apr 2023 23:25:11 GMT,2023-04-24
0x2fc7ad0f31acdbfe2fa0d77bb152cc64c14b8e5e6e1d4eeb658875dbeed922b8,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1818, 24 Apr 2023 23:25:11 GMT,2023-04-24
0x05fffc9f867991ad546cb9a976ed63d8308b0dcddb4ba615904f1ed46b790d20,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi 12,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,20417, 24 Apr 2023 23:25:35 GMT,2023-04-24
0x4b83c209fbcca94b738b8c4f7254205093b52982ba940a6fec8ed9e36f6ba81f,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,230, 24 Apr 2023 23:25:47 GMT,2023-04-24
